locus_tag,gene_name,logFC,Pvalue,q.value
P_01459,trmK,0.210430771,0.533814244,
P_01460,,-0.086392265,0.803727869,
P_01461,cmk_2,-0.079334085,0.763363872,0.939844193
P_01462,gstB_1,-0.359351988,0.153519052,0.504958446
P_00148,lutR_1,0.109587031,0.637376385,0.890943413
P_01463,,-0.183530396,0.446951346,0.797377652
P_01464,,-0.516798086,0.059348184,0.312723944
P_01465,bauD,-0.105550336,0.711294771,0.92198932
P_01466,cdhR_4,-0.109456747,0.777232637,
P_01467,,0.197296792,0.690911992,
P_01468,ubiG_2,-1.187741103,0.000443739,0.013584959
P_01469,,-0.521250946,0.076974312,0.365958073
P_01470,,-0.001455713,0.995303158,0.997150046
P_01471,,-0.121946138,0.67277062,0.904083575
P_01472,,0.353730957,0.300751864,
P_00149,tyrS,0.045758635,0.842827006,0.95787105
P_01473,mltF_2,0.187163918,0.421202066,0.782292251
P_01474,,-0.550998375,0.013069231,0.12580819
P_01475,serA,-0.002723398,0.990366544,0.995698262
P_01476,,0.252754713,0.261641391,0.643961088
P_01477,ycgM,-0.441101066,0.052877157,0.291292304
P_01478,yjiK_1,0.046320605,0.87803786,0.966255571
P_01479,yjiK_2,-0.298106278,0.345402687,
P_01480,,-0.322143719,0.308337772,
P_01481,rpiA,0.311223708,0.235089603,0.610187399
P_01482,ilvA,0.110796754,0.627433325,0.885000121
P_00150,,0.378858782,0.092125835,0.399345032
P_01483,,-0.149518399,0.56425177,0.855620664
P_01484,,-0.392239347,0.125475293,0.459911895
P_01485,rppH_1,-0.169236003,0.495619561,0.828705023
P_01486,ptsP,-0.407641111,0.069085969,0.343011229
P_01487,,-0.465487561,0.050937565,0.28438237
P_01488,lgt,0.009108262,0.968455787,0.988618514
P_01489,thyA,-0.08630577,0.715846032,0.92198932
P_01490,zntR,-0.444555027,0.165237962,
P_01491,cadA_1,-0.231744106,0.416910114,0.7798619
P_01492,cmpR_2,-0.20996879,0.403138409,0.769631267
P_00151,anmK,0.322973979,0.17059819,0.52834514
P_01493,cysA_2,0.416815749,0.455717111,
P_01494,,0.035225102,0.923350015,
P_01495,,-0.305772134,0.344676372,
P_01496,mnmC_2,-0.187014534,0.599537809,
P_01497,,-0.09711092,0.823835346,
P_01498,,0.423744022,0.483784932,
P_01499,der_2,-0.243673996,0.331193925,0.714621208
P_01500,,-0.055034981,0.820382781,0.955510056
P_01501,folA,0.015378963,0.953477879,0.984352242
P_01502,tcyP,0.545506725,0.022444744,0.173937152
P_00152,erpA,-0.616259094,0.011196642,0.115205119
P_01503,,0.035852891,0.929602525,
P_01504,ilvD,-0.553981778,0.011806945,0.119509318
P_01505,,-0.049208557,0.91601988,
P_01506,rlmI_2,0.359599779,0.135538014,0.47311634
P_01507,,0.055125619,0.830821868,0.95592068
P_01508,mutM,0.152929289,0.568618339,0.857579262
P_01509,fdx_2,0.090655317,0.753767714,0.935673095
P_01510,coaD,0.122099523,0.610258739,0.880384855
P_01511,,0.050741163,0.863048849,0.96223506
P_01512,,-0.043109196,0.872744555,0.963757813
P_00015,,-0.301481259,0.618541009,
P_00153,argC,-0.220666814,0.322464245,0.705567636
P_01513,calB,-0.084851568,0.71632511,0.92198932
P_01514,,0.127103189,0.589157899,0.868414927
P_01515,sseB,-0.037667759,0.874485412,0.963757813
